reporting_organisation,funding_source,project_status,governorate,district,sub_district,community,neighbourhood,camp_name,admin1pcode,admin2pcode,admin3pcode,admin4pcode,neighbourhood_pcode,location_pcode,location_other,village_camps,latitude_y,longitude_x,cluster,response_type,families,female_headed_hh,beneficiaries,men_18_60,women_18_60,boys_18,girls_18,elderly_males_60,elderly_females_60,idps,host_communities,returnees,pwds,previously_assisted,newly_assisted,conditionality,restrictions,cash_delivery_mechanism,voucher_delivery_mechanism,currency,transfer_value,transfer_frequency,num_payments,fx_rate,total_value_per_hh,total_usd,targeting_criteria,start_date,distribution_date,comments,month_of_activity,abbreviation,implementing_partner,activity,source
NA,BHA,Completed,Aleppo,Afrin,Jandairis,Jandairis,NA,NA,SY02,SY0203,SY020302,C1426,NA,NA,كويت الرحمة,camp,36.392488,36.689563,Multipurpose - One time,Earthquake,57,15.39,285,37.050000000000004,76.95,79.80000000000001,91.2,NA,NA,285,NA,NA,43,NA,NA,Conditional - Other,Voucher - Unrestricted,NA,Paper voucher,USD,150,NA,1,1,150,8550,Vulnerability-based,2023-03-01,2023-03-25,NA,2023-03-31,SHAFAK,Shafak Organization (SO),Cash Response,4ws
NA,BHA,Completed,Aleppo,Afrin,Jandairis,Jandairis,NA,NA,SY02,SY0203,SY020302,C1426,NA,NA,الايمان 2,camp,36.392488,36.689563,Multipurpose - One time,Earthquake,74,19.980000000000004,370,48.1,99.9,103.60000000000001,118.4,NA,NA,370,NA,NA,56,NA,NA,Conditional - Other,Voucher - Unrestricted,NA,Paper voucher,USD,150,NA,1,1,150,11100,Vulnerability-based,2023-03-01,2023-03-25,NA,2023-03-31,SHAFAK,Shafak Organization (SO),Cash Response,4ws
NA,BHA,Completed,Aleppo,Afrin,Jandairis,Jandairis,NA,NA,SY02,SY0203,SY020302,C1426,NA,NA,التل 3,camp,36.392488,36.689563,Multipurpose - One time,Earthquake,24,6.480000000000001,120,15.600000000000001,32.400000000000006,33.6,38.4,NA,NA,120,NA,NA,18,NA,NA,Conditional - Other,Voucher - Unrestricted,NA,Paper voucher,USD,150,NA,1,1,150,3600,Vulnerability-based,2023-03-01,2023-03-25,NA,2023-03-31,SHAFAK,Shafak Organization (SO),Cash Response,4ws
NA,BHA,Completed,Aleppo,Afrin,Jandairis,Jandairis,NA,NA,SY02,SY0203,SY020302,C1426,NA,NA,الجمعيات,camp,36.392488,36.689563,Multipurpose - One time,Earthquake,46,12.420000000000002,230,29.900000000000002,62.1,64.4,73.60000000000001,NA,NA,230,NA,NA,35,NA,NA,Conditional - Other,Voucher - Unrestricted,NA,Paper voucher,USD,150,NA,1,1,150,6900,Vulnerability-based,2023-03-01,2023-03-25,NA,2023-03-31,SHAFAK,Shafak Organization (SO),Cash Response,4ws
NA,BHA,Completed,Aleppo,Afrin,Jandairis,Jandairis,NA,NA,SY02,SY0203,SY020302,C1426,NA,NA,كفاف 1,camp,36.392488,36.689563,Multipurpose - One time,Earthquake,22,5.940000000000001,110,14.3,29.700000000000003,30.800000000000004,35.2,NA,NA,110,NA,NA,17,NA,NA,Conditional - Other,Voucher - Unrestricted,NA,Paper voucher,USD,150,NA,1,1,150,3300,Vulnerability-based,2023-03-01,2023-03-25,NA,2023-03-31,SHAFAK,Shafak Organization (SO),Cash Response,4ws
NA,BHA,Completed,Aleppo,Afrin,Jandairis,Jandairis,NA,NA,SY02,SY0203,SY020302,C1426,NA,NA,تجمع خلق صالة لازا,camp,36.392488,36.689563,Multipurpose - One time,Earthquake,30,8.1,150,19.5,40.5,42.00000000000001,48,NA,NA,150,NA,NA,23,NA,NA,Conditional - Other,Voucher - Unrestricted,NA,Paper voucher,USD,150,NA,1,1,150,4500,Vulnerability-based,2023-03-01,2023-03-25,NA,2023-03-31,SHAFAK,Shafak Organization (SO),Cash Response,4ws
NA,BHA,Completed,Aleppo,Afrin,Jandairis,Jandairis,NA,NA,SY02,SY0203,SY020302,C1426,NA,NA,عفرين تجمع الكراج,camp,36.392488,36.689563,Multipurpose - One time,Earthquake,54,14.580000000000002,270,35.1,72.9,75.60000000000001,86.4,NA,NA,270,NA,NA,41,NA,NA,Conditional - Other,Voucher - Unrestricted,NA,Paper voucher,USD,150,NA,1,1,150,8100,Vulnerability-based,2023-03-01,2023-03-25,NA,2023-03-31,SHAFAK,Shafak Organization (SO),Cash Response,4ws
NA,BHA,Completed,Aleppo,Afrin,Jandairis,Jandairis,NA,NA,SY02,SY0203,SY020302,C1426,NA,NA,السلامة,camp,36.392488,36.689563,Multipurpose - One time,Earthquake,33,8.910000000000002,165,21.45,44.550000000000004,46.2,52.800000000000004,NA,NA,165,NA,NA,25,NA,NA,Conditional - Other,Voucher - Unrestricted,NA,Paper voucher,USD,150,NA,1,1,150,4950,Vulnerability-based,2023-03-01,2023-03-25,NA,2023-03-31,SHAFAK,Shafak Organization (SO),Cash Response,4ws
NA,BHA,Completed,Aleppo,Afrin,Jandairis,Jandairis,NA,NA,SY02,SY0203,SY020302,C1426,NA,NA,الايمان,camp,36.392488,36.689563,Multipurpose - One time,Earthquake,91,24.570000000000004,455,59.15,122.85000000000001,127.4,145.6,NA,NA,455,NA,NA,68,NA,NA,Conditional - Other,Voucher - Unrestricted,NA,Paper voucher,USD,150,NA,1,1,150,13650,Vulnerability-based,2023-03-01,2023-03-25,NA,2023-03-31,SHAFAK,Shafak Organization (SO),Cash Response,4ws
NA,BHA,Completed,Aleppo,Afrin,Jandairis,Jandairis,NA,NA,SY02,SY0203,SY020302,C1426,NA,NA,ext Al Kliyeh,camp,36.392488,36.689563,Multipurpose - One time,Earthquake,61,16.470000000000002,305,39.65,82.35000000000001,85.4,97.60000000000001,NA,NA,305,NA,NA,46,NA,NA,Conditional - Other,Voucher - Unrestricted,NA,Paper voucher,USD,150,NA,1,1,150,9150,Vulnerability-based,2023-03-01,2023-03-25,NA,2023-03-31,SHAFAK,Shafak Organization (SO),Cash Response,4ws
NA,BHA,Completed,Aleppo,Afrin,Jandairis,Jandairis,NA,NA,SY02,SY0203,SY020302,C1426,NA,NA,انصر,camp,36.392488,36.689563,Multipurpose - One time,Earthquake,213,57.510000000000005,1065,138.45000000000002,287.55,298.20000000000005,340.8,NA,NA,1065,NA,NA,160,NA,NA,Conditional - Other,Voucher - Unrestricted,NA,Paper voucher,USD,150,NA,1,1,150,31950,Vulnerability-based,2023-03-01,2023-03-25,NA,2023-03-31,SHAFAK,Shafak Organization (SO),Cash Response,4ws
NA,WHH,Completed,Idleb,Harim,Salqin,Tlul,NA,Tlul/التلول,SY07,SY0703,SY070302,C4137,NA,CP001218,Tlul,village,36.207339,36.399881,Multipurpose - One time,Earthquake,588,158.76000000000002,2940,382.2,793.8000000000001,823.2,940.8000000000001,NA,NA,2940,NA,NA,441,NA,NA,Conditional - Other,Voucher - Unrestricted,NA,Paper voucher,USD,100,NA,1,1,100,58800,Vulnerability-based,2023-03-01,2023-03-25,NA,2023-03-31,SHAFAK,Shafak Organization (SO),Cash Response,4ws
NA,WHH,Completed,Idleb,Harim,Salqin,Ein Elbikara,NA,NA,SY07,SY0703,SY070302,C4136,NA,NA,Ein Elbikara,village,36.195065,36.412679,Multipurpose - One time,Earthquake,374,100.98000000000002,1870,243.1,504.90000000000003,523.6,598.4,NA,NA,1870,NA,NA,281,NA,NA,Conditional - Other,Voucher - Unrestricted,NA,Paper voucher,USD,100,NA,1,1,100,37400,Vulnerability-based,2023-03-01,2023-03-25,NA,2023-03-31,SHAFAK,Shafak Organization (SO),Cash Response,4ws
NA,WHH,Completed,Idleb,Harim,Salqin,Azmarin,NA,Ibn Sariaa / ابن سريع,SY07,SY0703,SY070302,C4143,NA,CP001934,NA,NA,36.055985,36.401422,Multipurpose - One time,Earthquake,239,64.53000000000002,1195,155.35,322.65000000000003,334.6,382.40000000000003,NA,NA,1195,NA,NA,179,NA,NA,Conditional - Other,Voucher - Unrestricted,NA,Paper voucher,USD,100,NA,1,1,100,23900,Vulnerability-based,2023-03-01,2023-03-25,NA,2023-03-31,SHAFAK,Shafak Organization (SO),Cash Response,4ws
NA,WHH,Completed,Idleb,Harim,Salqin,Salqin,NA,NA,SY07,SY0703,SY070302,C4140,NA,NA,Salqin,village,36.139048,36.453694,Multipurpose - One time,Earthquake,58,15.660000000000004,290,37.7,78.30000000000001,81.2,92.8,NA,NA,290,NA,NA,44,NA,NA,Conditional - Other,Voucher - Unrestricted,NA,Paper voucher,USD,100,NA,1,1,100,5800,Vulnerability-based,2023-03-01,2023-03-25,NA,2023-03-31,SHAFAK,Shafak Organization (SO),Cash Response,4ws
NA,ECHO,Completed,Idleb,Idleb,Bennsh,Toum,NA,NA,SY07,SY0700,SY070002,C3906,NA,NA,Toum,village,35.975305,36.749062,Multipurpose - One time,Earthquake,232,62.640000000000015,1160,150.8,313.20000000000005,324.8,371.2,NA,NA,1160,NA,NA,174,NA,NA,Conditional - Other,Voucher - Unrestricted,NA,Paper voucher,USD,150,NA,1,1,150,34800,Vulnerability-based,2023-03-01,2023-03-25,NA,2023-03-31,SHAFAK,Shafak Organization (SO),Cash Response,4ws
NA,ECHO,Completed,Idleb,Idleb,Bennsh,Foah,NA,NA,SY07,SY0700,SY070002,C3905,NA,NA,Foah,village,35.982022,36.703584,Multipurpose - One time,Earthquake,297,80.19000000000001,1485,193.05,400.95000000000005,415.8,475.2,NA,NA,1485,NA,NA,223,NA,NA,Conditional - Other,Voucher - Unrestricted,NA,Paper voucher,USD,150,NA,1,1,150,44550,Vulnerability-based,2023-03-01,2023-03-25,NA,2023-03-31,SHAFAK,Shafak Organization (SO),Cash Response,4ws
NA,ECHO,Completed,Idleb,Idleb,Idleb,Kafruhin,NA,NA,SY07,SY0700,SY070000,C3879,NA,NA,Kafruhin,village,35.973629,36.562824,Multipurpose - One time,Earthquake,71,19.17,355,46.15,95.85000000000001,99.4,113.60000000000001,NA,NA,355,NA,NA,53,NA,NA,Conditional - Other,Voucher - Unrestricted,NA,Paper voucher,USD,150,NA,1,1,150,10650,Vulnerability-based,2023-03-01,2023-03-25,NA,2023-03-31,SHAFAK,Shafak Organization (SO),Cash Response,4ws
NA,ECHO,Completed,Idleb,Idleb,Idleb,Idleb,NA,NA,SY07,SY0700,SY070000,C3871,NA,NA,Idleb,village,35.929008,36.635276,Multipurpose - One time,Earthquake,263,71.01,1315,170.95000000000002,355.05,368.20000000000005,420.8,NA,NA,1315,NA,NA,197,NA,NA,Conditional - Other,Voucher - Unrestricted,NA,Paper voucher,USD,150,NA,1,1,150,39450,Vulnerability-based,2023-03-01,2023-03-25,NA,2023-03-31,SHAFAK,Shafak Organization (SO),Cash Response,4ws
