hub,intervention_type,donor,report_date,distribution_date,planned_implemented,implementing_partner,activity,regularity,duration_assistance,quantity,unit,families,beneficiaries,rapid_assessment,governorate,district,sub_district,community,village_camps,camp_name,reception_centre_name,admin1pcode,admin2pcode,admin3pcode,admin4pcode,longitude_x,latitude_y,location_pcode,abbreviation
NWS,Earthquake,ECHO,2023-02-12T00:00:00Z,2023-02-11T00:00:00Z,Implemented,Agency for Technical Cooperation and Development (ACTED),Cash Response,NA,30,150,USD,80,442,Yes,Aleppo,Jebel Saman,Atareb,Atareb,In the Camp,Collective Center,Iman Shelter Center,SY02,SY0200,SY020001,C1022,36.828382,36.137884,NA,ACTED
NWS,Earthquake,Norwegian Refugee Council,2023-02-20T00:00:00Z,2023-02-11T00:00:00Z,Implemented,Norwegian Refugee Council (NRC),Cash Response,NA,30,150,USD,2000,1504,N/A,Idleb,Harim,Harim,Harim,In the Village,NA,NA,SY07,SY0703,SY070300,C4115,36.520746,36.212594,NA,NRC
NWS,Earthquake,Norwegian Refugee Council,2023-02-20T00:00:00Z,2023-02-11T00:00:00Z,Implemented,Norwegian Refugee Council (NRC),Cash Response,NA,30,150,USD,2000,1548,N/A,Idleb,Harim,Salqin,Salqin,In the Village,NA,NA,SY07,SY0703,SY070302,C4140,36.453694,36.139048,NA,NRC
NWS,Earthquake,N/A,2023-02-09T00:00:00Z,2023-02-12T00:00:00Z,Implemented,Norwegian Refugee Council (NRC),Cash Response,NA,30,150,USD,680,3400,Yes,Idleb,Harim,Salqin,Salqin,In the Village,NA,NA,SY07,SY0703,SY070302,C4140,36.453694,36.139048,NA,NRC
NWS,Earthquake,Private donor,2023-02-11T00:00:00Z,2023-02-12T00:00:00Z,Implemented,Agency for Technical Cooperation and Development (ACTED),Cash Response,NA,30,150,USD,105,525,Yes,Aleppo,Jarablus,Jarablus,Jarablus,In the Village,in collective temporary center,NA,SY02,SY0208,SY020800,C2227,38.009919,36.814478,NA,ACTED
NWS,Earthquake,WHH,2023-02-11T00:00:00Z,2023-02-12T00:00:00Z,Implemented,Agency for Technical Cooperation and Development (ACTED),Cash Response,NA,30,150,USD,22,110,Yes,Aleppo,Jarablus,Jarablus,Jarablus,In the Village,in collective temporary center,NA,SY02,SY0208,SY020800,C2227,38.009919,36.814478,NA,ACTED
NWS,Earthquake,BHA,2023-02-12T00:00:00Z,2023-02-13T00:00:00Z,Implemented,Agency for Technical Cooperation and Development (ACTED),Cash Response,NA,30,150,USD,22,110,Yes,Aleppo,A'zaz,A'zaz,Azaz,In the Village,NA,NA,SY02,SY0204,SY020400,C1564,37.04316,36.584872,NA,ACTED
NWS,Earthquake,BHA,2023-02-12T00:00:00Z,2023-02-13T00:00:00Z,Implemented,International Rescue Committee (IRC),Cash Response,NA,30,150,USD,100,500,Yes,Idleb,Harim,Dana,Tilaada,In the Village,مركز ايواء تلعاده,NA,SY07,SY0703,SY070301,C4124,36.800669,36.251766,NA,IRC
NWS,Earthquake,BHA,2023-02-10T00:00:00Z,2023-02-13T00:00:00Z,Implemented,People in Need (PIN),Cash Response,NA,30,150,USD,120,528,Yes,Idleb,Jisr-Ash-Shugur,Janudiyeh,Athar,In the Village,آذار,NA,SY07,SY0704,SY070403,C4266,36.245829,35.913668,NA,PIN
NWS,Earthquake,BHA,2023-02-10T00:00:00Z,2023-02-13T00:00:00Z,Implemented,People in Need (PIN),Cash Response,NA,30,150,USD,12,36,Yes,Idleb,Jisr-Ash-Shugur,Janudiyeh,Yaqubiyeh,In the Village,اليعقوبية,NA,SY07,SY0704,SY070403,C4256,36.314485,35.921929,NA,PIN
